subset,model,dim,breakpoint,sse_gain
FD001,lstm,accuracy,0.325,0.89
FD001,pinn,accuracy,0.463,0.92
FD001,transformer,accuracy,0.325,0.99
FD004,lstm,accuracy,0.325,0.78
FD004,pinn,accuracy,0.325,0.84
FD004,transformer,accuracy,0.188,0.73
FD001,lstm,accuracy_bias,0.188,0.93
FD001,pinn,accuracy_bias,0.188,0.95
FD001,transformer,accuracy_bias,0.188,0.72
FD004,lstm,accuracy_bias,0.325,0.92
FD004,pinn,accuracy_bias,0.188,0.77
FD004,transformer,accuracy_bias,0.188,0.92
FD001,lstm,completeness_MAR,0.388,0.4
FD001,pinn,completeness_MAR,0.388,0.7
FD001,transformer,completeness_MAR,0.05,0.3
FD004,lstm,completeness_MAR,0.391,0.97
FD004,pinn,completeness_MAR,0.278,0.63
FD004,transformer,completeness_MAR,0.164,0.76
FD001,lstm,completeness_MCAR,0.276,0.85
FD001,pinn,completeness_MCAR,0.276,0.84
FD001,transformer,completeness_MCAR,0.276,0.73
FD004,lstm,completeness_MCAR,0.387,0.4
FD004,pinn,completeness_MCAR,0.387,0.32
FD004,transformer,completeness_MCAR,0.387,0.25
FD001,lstm,completeness_MNAR,0.39,0.99
FD001,pinn,completeness_MNAR,0.39,0.93
FD001,transformer,completeness_MNAR,0.39,0.92
FD004,lstm,completeness_MNAR,0.388,0.99
FD004,pinn,completeness_MNAR,0.388,0.95
FD004,transformer,completeness_MNAR,0.388,0.98
FD001,lstm,consistency,0.41,0.88
FD001,pinn,consistency,,0.15
FD001,transformer,consistency,0.41,0.3
FD004,lstm,consistency,0.41,0.89
FD004,pinn,consistency,0.41,0.95
FD004,transformer,consistency,0.41,0.96
FD001,lstm,drift,0.1,0.8
FD001,pinn,drift,0.325,0.93
FD001,transformer,drift,0.325,0.94
FD004,lstm,drift,0.775,0.56
FD004,pinn,drift,0.775,0.6
FD004,transformer,drift,0.775,0.67
FD001,lstm,timeliness,0.769,0.71
FD001,pinn,timeliness,0.154,0.71
FD001,transformer,timeliness,0.769,0.21
FD004,lstm,timeliness,0.154,0.84
FD004,pinn,timeliness,0.154,0.93
FD004,transformer,timeliness,0.154,0.62
