dim,sev,seed,clean,d_inference,d_train,d_both
accuracy_bias,3,0,14.900993347167969,5.966850280761719,1.2250099182128906,-0.29941749572753906
accuracy_bias,3,1,15.072189331054688,4.098268508911133,9.433143615722656,-0.9337072372436523
accuracy_bias,3,2,14.375961303710938,8.165000915527344,19.499507904052734,19.723411560058594
accuracy_bias,5,0,14.900993347167969,16.02443504333496,4.136014938354492,-1.2691192626953125
accuracy_bias,5,1,15.072189331054688,13.367286682128906,8.378787994384766,4.588094711303711
accuracy_bias,5,2,14.375961303710938,21.052032470703125,14.660512924194336,13.764947891235352
completeness_MNAR,3,0,14.900993347167969,-0.10083866119384766,-1.814326286315918,-0.7681570053100586
completeness_MNAR,3,1,15.072189331054688,2.4775753021240234,-1.6550045013427734,-0.041693687438964844
completeness_MNAR,3,2,14.375961303710938,0.7726535797119141,-1.749349594116211,-1.923318862915039
completeness_MNAR,5,0,14.900993347167969,11.301504135131836,24.705036163330078,25.376419067382812
completeness_MNAR,5,1,15.072189331054688,14.95843505859375,24.163898468017578,25.158023834228516
completeness_MNAR,5,2,14.375961303710938,11.15843391418457,0.22010040283203125,1.030076026916504
