qcg,seed,dim,sev,rmse,rmse_base
False,0,accuracy_bias,0,13.130590438842773,13.130590438842773
False,0,accuracy_bias,1,13.275885581970215,13.130590438842773
False,0,accuracy_bias,3,13.347183227539062,13.130590438842773
False,0,accuracy_bias,5,15.01400089263916,13.130590438842773
False,0,completeness_MNAR,0,13.130590438842773,13.130590438842773
False,0,completeness_MNAR,1,13.093972206115723,13.130590438842773
False,0,completeness_MNAR,3,15.28023624420166,13.130590438842773
False,0,completeness_MNAR,5,17.555522918701172,13.130590438842773
False,0,consistency,0,13.130590438842773,13.130590438842773
False,0,consistency,1,13.37080192565918,13.130590438842773
False,0,consistency,3,15.536377906799316,13.130590438842773
False,0,consistency,5,15.041727066040039,13.130590438842773
False,0,drift,0,13.130590438842773,13.130590438842773
False,0,drift,1,13.182848930358887,13.130590438842773
False,0,drift,3,13.139080047607422,13.130590438842773
False,0,drift,5,12.915307998657227,13.130590438842773
False,1,accuracy_bias,0,12.8601655960083,12.8601655960083
False,1,accuracy_bias,1,13.17880630493164,12.8601655960083
False,1,accuracy_bias,3,13.356410026550293,12.8601655960083
False,1,accuracy_bias,5,15.287064552307129,12.8601655960083
False,1,completeness_MNAR,0,12.8601655960083,12.8601655960083
False,1,completeness_MNAR,1,13.04490852355957,12.8601655960083
False,1,completeness_MNAR,3,14.658883094787598,12.8601655960083
False,1,completeness_MNAR,5,18.130035400390625,12.8601655960083
False,1,consistency,0,12.8601655960083,12.8601655960083
False,1,consistency,1,12.87877082824707,12.8601655960083
False,1,consistency,3,15.7555513381958,12.8601655960083
False,1,consistency,5,16.49466323852539,12.8601655960083
False,1,drift,0,12.8601655960083,12.8601655960083
False,1,drift,1,12.949841499328613,12.8601655960083
False,1,drift,3,13.183440208435059,12.8601655960083
False,1,drift,5,13.281588554382324,12.8601655960083
False,2,accuracy_bias,0,13.150145530700684,13.150145530700684
False,2,accuracy_bias,1,13.398622512817383,13.150145530700684
False,2,accuracy_bias,3,13.82625675201416,13.150145530700684
False,2,accuracy_bias,5,15.32699966430664,13.150145530700684
False,2,completeness_MNAR,0,13.150145530700684,13.150145530700684
False,2,completeness_MNAR,1,12.917641639709473,13.150145530700684
False,2,completeness_MNAR,3,15.011731147766113,13.150145530700684
False,2,completeness_MNAR,5,17.18318748474121,13.150145530700684
False,2,consistency,0,13.150145530700684,13.150145530700684
False,2,consistency,1,12.999310493469238,13.150145530700684
False,2,consistency,3,15.794711112976074,13.150145530700684
False,2,consistency,5,16.756641387939453,13.150145530700684
False,2,drift,0,13.150145530700684,13.150145530700684
False,2,drift,1,13.07519245147705,13.150145530700684
False,2,drift,3,13.075438499450684,13.150145530700684
False,2,drift,5,13.231125831604004,13.150145530700684
True,0,accuracy_bias,0,13.832860946655273,20.233793258666992
True,0,accuracy_bias,1,14.198721885681152,20.233793258666992
True,0,accuracy_bias,3,13.570832252502441,20.233793258666992
True,0,accuracy_bias,5,15.306821823120117,20.233793258666992
True,0,completeness_MNAR,0,13.832860946655273,20.233793258666992
True,0,completeness_MNAR,1,13.653987884521484,20.233793258666992
True,0,completeness_MNAR,3,16.093917846679688,20.233793258666992
True,0,completeness_MNAR,5,18.7781925201416,20.233793258666992
True,0,consistency,0,13.832860946655273,20.233793258666992
True,0,consistency,1,13.766058921813965,20.233793258666992
True,0,consistency,3,16.194324493408203,20.233793258666992
True,0,consistency,5,15.442875862121582,20.233793258666992
True,0,drift,0,13.832860946655273,20.233793258666992
True,0,drift,1,13.625136375427246,20.233793258666992
True,0,drift,3,13.255847930908203,20.233793258666992
True,0,drift,5,13.632030487060547,20.233793258666992
True,1,accuracy_bias,0,14.480245590209961,19.872892379760742
True,1,accuracy_bias,1,14.716174125671387,19.872892379760742
True,1,accuracy_bias,3,14.01785945892334,19.872892379760742
True,1,accuracy_bias,5,15.25353717803955,19.872892379760742
True,1,completeness_MNAR,0,14.480245590209961,19.872892379760742
True,1,completeness_MNAR,1,14.236963272094727,19.872892379760742
True,1,completeness_MNAR,3,16.319995880126953,19.872892379760742
True,1,completeness_MNAR,5,19.26898193359375,19.872892379760742
True,1,consistency,0,14.480245590209961,19.872892379760742
True,1,consistency,1,14.347065925598145,19.872892379760742
True,1,consistency,3,16.056259155273438,19.872892379760742
True,1,consistency,5,15.82250690460205,19.872892379760742
True,1,drift,0,14.480245590209961,19.872892379760742
True,1,drift,1,14.408651351928711,19.872892379760742
True,1,drift,3,14.608612060546875,19.872892379760742
True,1,drift,5,15.0415620803833,19.872892379760742
True,2,accuracy_bias,0,12.31380844116211,19.007524490356445
True,2,accuracy_bias,1,12.700172424316406,19.007524490356445
True,2,accuracy_bias,3,13.363502502441406,19.007524490356445
True,2,accuracy_bias,5,14.759835243225098,19.007524490356445
True,2,completeness_MNAR,0,12.31380844116211,19.007524490356445
True,2,completeness_MNAR,1,12.279747009277344,19.007524490356445
True,2,completeness_MNAR,3,14.605993270874023,19.007524490356445
True,2,completeness_MNAR,5,18.64316177368164,19.007524490356445
True,2,consistency,0,12.31380844116211,19.007524490356445
True,2,consistency,1,12.545212745666504,19.007524490356445
True,2,consistency,3,14.636537551879883,19.007524490356445
True,2,consistency,5,16.63448715209961,19.007524490356445
True,2,drift,0,12.31380844116211,19.007524490356445
True,2,drift,1,12.274453163146973,19.007524490356445
True,2,drift,3,12.45450496673584,19.007524490356445
True,2,drift,5,12.833694458007812,19.007524490356445
