subset,model,seed,dim,sev,one_minus_q,rmse,score,ece,cov90,rmse_base
FD001,lstm,0,accuracy,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,accuracy,1,0.050000011920928955,14.861406326293945,280.0305480957031,0.06499999999999999,0.9,14.900993347167969
FD001,lstm,0,accuracy,2,0.18750005960464478,15.111825942993164,310.7046203613281,0.06899999999999998,0.84,14.900993347167969
FD001,lstm,0,accuracy,3,0.3250000476837158,16.539121627807617,405.1448974609375,0.05599999999999998,0.83,14.900993347167969
FD001,lstm,0,accuracy,4,0.46250003576278687,16.043697357177734,309.7296142578125,0.06299999999999997,0.85,14.900993347167969
FD001,lstm,0,accuracy,5,0.6000000238418579,17.438230514526367,401.4881286621094,0.07999999999999999,0.8,14.900993347167969
FD001,lstm,0,accuracy_bias,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,accuracy_bias,1,0.050000011920928955,14.812410354614258,264.9457702636719,0.07999999999999997,0.87,14.900993347167969
FD001,lstm,0,accuracy_bias,2,0.18750005960464478,16.580337524414062,328.3190002441406,0.15299999999999997,0.78,14.900993347167969
FD001,lstm,0,accuracy_bias,3,0.3250000476837158,21.768054962158203,953.595947265625,0.252,0.63,14.900993347167969
FD001,lstm,0,accuracy_bias,4,0.46250003576278687,26.541107177734375,1644.2874755859375,0.359,0.43,14.900993347167969
FD001,lstm,0,accuracy_bias,5,0.6000000238418579,30.899133682250977,2067.962158203125,0.4149999999999999,0.27,14.900993347167969
FD001,lstm,0,completeness_MCAR,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,completeness_MCAR,1,0.0503922700881958,15.19680118560791,323.7441101074219,0.06599999999999999,0.88,14.900993347167969
FD001,lstm,0,completeness_MCAR,2,0.162725567817688,15.103360176086426,289.7932434082031,0.059999999999999984,0.9,14.900993347167969
FD001,lstm,0,completeness_MCAR,3,0.276039183139801,15.406256675720215,370.9700622558594,0.06799999999999998,0.86,14.900993347167969
FD001,lstm,0,completeness_MCAR,4,0.388568639755249,15.481974601745605,297.96331787109375,0.07499999999999998,0.86,14.900993347167969
FD001,lstm,0,completeness_MCAR,5,0.499666690826416,18.220426559448242,497.9706115722656,0.06599999999999998,0.82,14.900993347167969
FD001,lstm,0,completeness_MAR,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,completeness_MAR,1,0.05029416084289551,14.752180099487305,285.0391845703125,0.072,0.91,14.900993347167969
FD001,lstm,0,completeness_MAR,2,0.16266673803329468,16.057750701904297,416.5094909667969,0.06499999999999997,0.87,14.900993347167969
FD001,lstm,0,completeness_MAR,3,0.27568626403808594,15.79251766204834,378.1883544921875,0.050999999999999976,0.88,14.900993347167969
FD001,lstm,0,completeness_MAR,4,0.3881961703300476,17.003711700439453,443.73919677734375,0.058999999999999976,0.83,14.900993347167969
FD001,lstm,0,completeness_MAR,5,0.5003921985626221,18.326675415039062,531.507568359375,0.06899999999999999,0.85,14.900993347167969
FD001,lstm,0,completeness_MNAR,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,completeness_MNAR,1,0.05043137073516846,14.674432754516602,273.52777099609375,0.06999999999999999,0.88,14.900993347167969
FD001,lstm,0,completeness_MNAR,2,0.16396087408065796,16.273176193237305,395.0949401855469,0.06499999999999997,0.84,14.900993347167969
FD001,lstm,0,completeness_MNAR,3,0.27611762285232544,17.232961654663086,858.28662109375,0.04499999999999999,0.86,14.900993347167969
FD001,lstm,0,completeness_MNAR,4,0.38972556591033936,16.83690071105957,558.7469482421875,0.050999999999999976,0.83,14.900993347167969
FD001,lstm,0,completeness_MNAR,5,0.5028039813041687,27.80548667907715,5355.64892578125,0.11599999999999999,0.73,14.900993347167969
FD001,lstm,0,timeliness,0,0.0,14.900993347167969,283.6417541503906,0.06999999999999999,0.87,14.900993347167969
FD001,lstm,0,timeliness,1,0.15384620428085327,15.10362720489502,296.1313171386719,0.06499999999999999,0.88,14.900993347167969
FD001,lstm,0,timeliness,2,0.38461536169052124,16.436370849609375,343.0204772949219,0.048999999999999974,0.78,14.900993347167969
FD001,lstm,0,timeliness,3,0.5384615659713745,18.41674041748047,569.364013671875,0.05999999999999998,0.72,14.900993347167969
FD001,lstm,0,timeliness,4,0.7692307829856873,19.224641799926758,715.228271484375,0.07899999999999999,0.7,14.900993347167969
