Subset,Model,DQ dimension,$\eta$,CI95_raw,$\eta^{rel}$,CI95_rel
FD001,lstm,accuracy,4.76,"[4.39, 5.11]",0.32,"[0.29, 0.34]"
FD001,pinn,accuracy,8.94,"[5.40, 12.29]",0.63,"[0.38, 0.87]"
FD001,transformer,accuracy,7.15,"[2.44, 11.76]",0.39,"[0.13, 0.65]"
FD001,lstm,accuracy_bias,33.53,"[27.19, 39.17]",2.22,"[1.80, 2.60]"
FD001,pinn,accuracy_bias,23.76,"[15.11, 33.29]",1.69,"[1.07, 2.36]"
FD001,transformer,accuracy_bias,45.72,"[36.85, 53.66]",2.52,"[2.03, 2.96]"
FD001,lstm,completeness_MAR,6.02,"[4.75, 7.28]",0.4,"[0.31, 0.48]"
FD001,pinn,completeness_MAR,7.95,"[6.68, 9.18]",0.56,"[0.47, 0.65]"
FD001,transformer,completeness_MAR,3.62,"[1.39, 5.68]",0.2,"[0.08, 0.31]"
FD001,lstm,completeness_MCAR,5.27,"[4.06, 7.00]",0.35,"[0.27, 0.46]"
FD001,pinn,completeness_MCAR,5.83,"[4.12, 7.29]",0.41,"[0.29, 0.52]"
FD001,transformer,completeness_MCAR,3.18,"[0.92, 5.73]",0.18,"[0.05, 0.32]"
FD001,lstm,completeness_MNAR,21.67,"[19.67, 24.89]",1.44,"[1.31, 1.65]"
FD001,pinn,completeness_MNAR,25.84,"[22.26, 29.31]",1.83,"[1.58, 2.08]"
FD001,transformer,completeness_MNAR,27.46,"[22.05, 33.87]",1.52,"[1.22, 1.87]"
FD001,lstm,consistency,33.2,"[25.31, 40.38]",2.2,"[1.68, 2.68]"
FD001,pinn,consistency,13.78,"[8.74, 19.31]",0.98,"[0.62, 1.37]"
FD001,transformer,consistency,30.82,"[21.49, 40.96]",1.7,"[1.19, 2.26]"
FD001,lstm,drift,30.72,"[28.05, 33.08]",2.04,"[1.86, 2.20]"
FD001,pinn,drift,31.54,"[28.72, 34.63]",2.24,"[2.04, 2.46]"
FD001,transformer,drift,16.98,"[12.40, 22.05]",0.94,"[0.68, 1.22]"
FD001,lstm,timeliness,8.11,"[7.17, 9.04]",0.54,"[0.48, 0.60]"
FD001,pinn,timeliness,9.93,"[9.53, 10.26]",0.7,"[0.68, 0.73]"
FD001,transformer,timeliness,6.15,"[4.23, 7.66]",0.34,"[0.23, 0.42]"
FD004,lstm,accuracy,6.56,"[6.05, 7.08]",0.43,"[0.40, 0.47]"
FD004,pinn,accuracy,8.97,"[6.90, 11.08]",0.58,"[0.45, 0.72]"
FD004,transformer,accuracy,11.92,"[10.75, 13.12]",0.72,"[0.65, 0.80]"
FD004,lstm,accuracy_bias,19.0,"[17.27, 20.35]",1.26,"[1.14, 1.35]"
FD004,pinn,accuracy_bias,12.45,"[9.92, 14.98]",0.81,"[0.65, 0.98]"
FD004,transformer,accuracy_bias,26.4,"[24.72, 28.84]",1.6,"[1.50, 1.75]"
FD004,lstm,completeness_MAR,6.31,"[5.38, 7.25]",0.42,"[0.36, 0.48]"
FD004,pinn,completeness_MAR,6.1,"[4.62, 7.59]",0.4,"[0.30, 0.49]"
FD004,transformer,completeness_MAR,3.14,"[1.72, 4.57]",0.19,"[0.10, 0.28]"
FD004,lstm,completeness_MCAR,5.05,"[3.83, 5.94]",0.33,"[0.25, 0.39]"
FD004,pinn,completeness_MCAR,6.42,"[4.50, 8.40]",0.42,"[0.29, 0.55]"
FD004,transformer,completeness_MCAR,4.78,"[3.91, 5.58]",0.29,"[0.24, 0.34]"
FD004,lstm,completeness_MNAR,21.09,"[19.82, 22.04]",1.4,"[1.31, 1.46]"
FD004,pinn,completeness_MNAR,21.65,"[20.29, 22.59]",1.41,"[1.32, 1.47]"
FD004,transformer,completeness_MNAR,25.3,"[23.88, 26.88]",1.54,"[1.45, 1.63]"
FD004,lstm,consistency,48.26,"[46.40, 49.68]",3.19,"[3.07, 3.29]"
FD004,pinn,consistency,20.49,"[16.05, 24.93]",1.33,"[1.05, 1.62]"
FD004,transformer,consistency,54.57,"[48.29, 60.60]",3.31,"[2.93, 3.68]"
FD004,lstm,drift,52.6,"[50.46, 54.50]",3.48,"[3.34, 3.61]"
FD004,pinn,drift,55.18,"[53.50, 57.49]",3.59,"[3.48, 3.74]"
FD004,transformer,drift,39.78,"[34.76, 43.98]",2.42,"[2.11, 2.67]"
FD004,lstm,timeliness,14.91,"[14.19, 15.55]",0.99,"[0.94, 1.03]"
FD004,pinn,timeliness,14.15,"[13.33, 14.97]",0.92,"[0.87, 0.98]"
FD004,transformer,timeliness,11.1,"[10.50, 11.80]",0.67,"[0.64, 0.72]"
